Simple Query1, Simple Query2, ComplexQuery1, ComplexQuery2, Simple Query1 Indexing W OP, Simple Query2 Indexing W OP, ComplexQuery1 Indexing W OP, ComplexQuery2 Indexing W OP
0.023, 0.02, 1.592710018157959, 2.4017345905303955, 0.0070000, 0.0150000, 1.3257372379302979, 1.4467434883117676
0.025, 0.026, 1.6019535064697266, 2.063676118850708, 0.0140000, 0.0220000, 1.9745385646820068, 1.324974536895752
0.019, 0.015, 1.3568968772888184, 2.1029818058013916, 0.0060000, 0.0120000, 1.0960869789123535, 1.2970998287200928
0.017, 0.018, 1.3489792346954346, 1.7212755680084229, 0.0070000, 0.0130000, 1.0988144874572754, 1.2836973667144775
0.017, 0.016, 1.4239451885223389, 1.7331957817077637, 0.0070000, 0.0120000, 1.149235486984253, 1.4121477603912354
0.021, 0.018, 1.344618797302246, 1.7669811248779297, 0.0070000, 0.0130000, 1.089782953262329, 1.2731497287750244
0.021, 0.017, 1.3645973205566406, 1.7214727401733398, 0.0070000, 0.0140000, 1.1076006889343262, 1.7676410675048828
0.018, 0.015, 1.449138879776001, 1.7762165069580078, 0.0080000, 0.0140000, 1.1805057525634766, 1.2911717891693115
0.035, 0.014, 1.3637654781341553, 1.7249865531921387, 0.0100000, 0.0150000, 1.099931001663208, 1.4819374084472656
0.021, 0.016, 1.3669483661651611, 1.7492072582244873, 0.0070000, 0.0120000, 1.1067149639129639, 1.2896738052368164
0.018, 0.014, 1.3542962074279785, 1.7205491065979004, 0.0070000, 0.0120000, 1.093376636505127, 1.2814018726348877
0.018, 0.015, 1.3435661792755127, 1.7509045600891113, 0.0070000, 0.0150000, 1.1278672218322754, 1.2818293571472168
0.021, 0.016, 1.3768563270568848, 1.759795904159546, 0.0070000, 0.0130000, 1.0968906879425049, 1.2952418327331543
0.019, 0.015, 1.364866018295288, 1.7187914848327637, 0.0070000, 0.0120000, 1.0975673198699951, 1.3461568355560303
0.021, 0.015, 1.3565282821655273, 1.8807299137115479, 0.0070000, 0.0150000, 1.089751958847046, 1.2742750644683838
0.018, 0.014, 1.388260841369629, 1.7954351902008057, 0.0060000, 0.0120000, 1.1079366207122803, 1.2750303745269775
0.018, 0.014, 1.4884517192840576, 1.7548682689666748, 0.0100000, 0.0130000, 1.100271224975586, 1.4575843811035156
0.044, 0.049, 3.224104881286621, 3.336130142211914, 0.0090000, 0.0200000, 2.017040729522705, 2.424609661102295
0.025, 0.024, 2.462275505065918, 3.0950028896331787, 0.0070000, 0.0150000, 1.791616439819336, 2.134096145629883
0.023, 0.026, 1.4022860527038574, 1.9599521160125732, 0.0090000, 0.0210000, 1.8210651874542236, 1.138700246810913
0.02, 0.022, 1.554476022720337, 1.941664457321167, 0.0080000, 0.0120000, 1.1396760940551758, 1.2749683856964111
0.017, 0.014, 1.4801263809204102, 1.7612824440002441, 0.0070000, 0.0150000, 1.093310832977295, 1.4735875129699707
0.017, 0.015, 1.4036695957183838, 2.0237512588500977, 0.0070000, 0.0150000, 1.1237270832061768, 1.2815942764282227
0.02, 0.015, 1.5539517402648926, 1.7608139514923096, 0.0170000, 0.0200000, 1.1099522113800049, 1.2947001457214355
0.022, 0.014, 1.4865176677703857, 1.9098119735717773, 0.0060000, 0.0120000, 1.1332199573516846, 1.2756145000457764
0.022, 0.013, 1.421802282333374, 1.6241095066070557, 0.0070000, 0.0120000, 1.2695207595825195, 1.512460470199585
0.019, 0.014, 1.3690030574798584, 1.7328565120697021, 0.0070000, 0.0140000, 1.0880815982818604, 1.2720248699188232
0.021, 0.014, 1.3511059284210205, 1.898627758026123, 0.0070000, 0.0150000, 1.112424373626709, 1.250035047531128
0.02, 0.015, 1.3971383571624756, 1.6933236122131348, 0.0070000, 0.0120000, 1.0978209972381592, 1.4743657112121582
0.019, 0.015, 1.364560604095459, 1.8936355113983154, 0.0080000, 0.0150000, 1.1000936031341553, 1.2230794429779053
